Project Name,State ,MW Capacity,Fuel Source,Committed Date (Month/Year)
East Rockingham Resource Recovery Facility,WA,29.000,Biomass,Dec-2019
Mangalore Renewable Energy Project,VIC,5.000,Solar,Sep-2021
Orange Community Renewable Energy Park,NSW,5.000,Solar,Jul-2022
Moorebank Logistics Park,NSW,60.000,Solar,Sep-2022
Kidston Pumped Hydro Storage Project,QLD,250.000,Hydro,Jul-2023
New England Solar Farm - Stage 2,NSW,320.000,Solar,Jul-2023
Forest Glen Solar Farm,NSW,90.000,Solar,Dec-2023
Uungula Wind Farm,NSW,414.000,Wind,Jan-2024
St Ives Gold Solar Farm,WA,77.000,Wind,Mar-2024
Arnotts Huntingwood Solar Project,NSW,4.950,Solar,May-2024
Quorn Park Solar Hybrid,NSW,98.000,Solar,Jun-2024
Lotus Creek Wind Farm,QLD,285.000,Wind,Aug-2024
Goorambat Solar Farm,VIC,250.000,Solar,Aug-2024
Hay Solar Farm,NSW,7.500,Solar,Sep-2024
Broadsound Solar Farm,QLD,376.000,Solar,Sep-2024
Boulder Creek Wind Farm,QLD,228.000,Wind,Sep-2024
Horsham Solar Farm,VIC,118.800,Solar,Nov-2024
Goulburn River Solar Farm,NSW,450.000,Solar,Dec-2024
Wambo Wind Farm Stage 2,QLD,254.000,Wind,Dec-2024
Warradarge Wind Farm Stage 2,WA,108.000,Wind,Dec-2024
Bungama Solar Farm (stage 3),SA,280.000,Solar,Feb-2025
Maryvale Solar Farm,NSW,172.000,Solar,Mar-2025
Lancaster Solar Farm,VIC,106.000,Solar,Mar-2025
Fulham Solar Farm,VIC,80.000,Solar,Apr-2025
Cloudbreak Solar Farm,WA,190.000,Solar,Apr-2025
Port Latta Wind Farm,TAS,25.000,Wind,Apr-2025
Wandoan South Solar Farm (Stage 2),QLD,240.000,Solar,Apr-2025
Mulwala Solar Farm,NSW,31.000,Solar,Jun-2025
Wathagar Solar NSW (Stage 2),NSW,27.000,Solar,Jul-2025
King Rocks Wind Farm,WA,105.000,Wind,Oct-2025
Blind Creek Solar Farm,NSW,300.000,Solar,Nov-2025
Waddi Wind Farm,WA,108.000,Wind,Dec-2025
Carmody's Hill Wind Farm,SA,247.000,Wind,Dec-2025
Delburn Wind Farm,VIC,205.000,Wind,Dec-2025
Palmer Wind Farm,SA,288.000,Wind,Jan-2026
Nullagine Wind Farm,WA,133.000,Wind,Jan-2026
